"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","Symbol"
"Dapma7bEVm001222",9.6175758334984,-1.64349727240208,0.436186440983726,-3.76787794846516,0.000164641159818187,0.0490584221503672,NA,""
"Dapma7bEVm001479",366.682434708641,1.12803769305155,0.225493361986608,5.00253170698012,5.65822720913004e-07,0.00142681629456896,"ENSG00000073067","CYP2W1"
"Dapma7bEVm002515",57.4056569787969,-1.52414311140035,0.384593602132487,-3.96299653179178,7.40148573743834e-05,0.0339346906689219,NA,""
"Dapma7bEVm002676",51.8849741883555,-1.25087150972511,0.305566717156831,-4.09361176951448,4.24705204070264e-05,0.0233216155746736,"ENSG00000131183","SLC34A1"
"Dapma7bEVm004192",297.772118507232,-1.94881242763786,0.50500901249844,-3.85896564102187,0.000113867943605461,0.0391560090839729,"ENSG00000183044","ABAT"
"Dapma7bEVm006082",45.7131008016803,-1.55964833465485,0.348731784197249,-4.47234351822856,7.73670116938514e-06,0.00900432989944594,"ENSG00000119655","NPC2"
"Dapma7bEVm008217",10.2702216199267,-4.07010318314311,0.650628788173022,-6.25564570324661,3.95874546561433e-10,5.98958188947448e-06,"ENSG00000196743","GM2A"
"Dapma7bEVm009306",9.76353927774739,-1.41838185325737,0.342520190551558,-4.14101677034968,3.45769676288322e-05,0.0203344161430294,NA,""
"Dapma7bEVm009920",19.2491258157577,-2.08823247267619,0.541138720326198,-3.85895962391566,0.000113870746840371,0.0391560090839729,NA,""
"Dapma7bEVm010183",17.1050646242376,-2.72728341351709,0.684179605995015,-3.9862097461247,6.71371678209746e-05,0.033704368583332,"ENSG00000010438","PRSS3"
"Dapma7bEVm010971",43.4316692201432,-1.851537532586,0.444956377548303,-4.16116641093655,3.16626250928421e-05,0.0203344161430294,"ENSG00000010438","PRSS3"
"Dapma7bEVm012758",6.76462417113698,3.09467926957187,0.79065973930643,3.91404685950816,9.07620099289612e-05,0.0361376107953996,"ENSG00000130383","FUT5"
"Dapma7bEVm019134",24.7149843058794,6.70531661646728,1.71653111777632,3.90631812440062,9.37131192651561e-05,0.0363558844738926,NA,""
"Dapma7bEVm019140",18.1970351870105,-3.22811678628146,0.626655842344731,-5.15133916920483,2.58632966091552e-07,0.000782623355393036,"ENSG00000016490","CLCA1"
"Dapma7bEVm021495",43.856948325621,-3.71507073610869,0.980814733336996,-3.787739529023,0.000152024099828102,0.0470588695437935,NA,""
"Dapma7bEVm022164",13.1379934199245,-1.47867804574986,0.357289614931035,-4.13859788797744,3.49434778399713e-05,0.0203344161430294,NA,""
"Dapma7bEVm024246",120.311347359365,1.51463123776454,0.384757994751736,3.93658158745175,8.26505289228851e-05,0.0357286429315215,"ENSG00000113649","TCERG1"
"Dapma7bEVm027214",13.8570581679857,1.38881141407245,0.366295281923788,3.79150778786555,0.000149735452069841,0.0470588695437935,NA,""
"Dapma7bEVm028529",409.099162913125,-3.54724840285428,0.727015993282594,-4.87918895269124,1.06522974688023e-06,0.00205034274427544,"ENSG00000119655","NPC2"
"Dapma7bEVm028606",7843.95109283865,1.03411626398645,0.22673971630769,4.5608077880063,5.09572101872485e-06,0.00770982590133069,NA,""
"Dapma7bEVm029182",31.8170677015461,-3.77656296203887,0.85756230967747,-4.40383505597306,1.06353818096988e-05,0.0107275551187162,NA,""
