"","CK07","CK08","CK09","CK10","CK11","CK12","D01A1","D01A2","D01A3","D01A4","D01A5","D01A6","D02A1","D02A2","D02A3","D02A4","D02A5","D02A6","D03A1","D03A2","D03A3","D03A4","D03A5","D03A6","D04A1","D04A2","D04A3","D04A4","D04A5","D04A6","D05A1","D05A2","D05A3","D05A4","D05A5","D05A6","D06A1","D06A2","D06A3","D06A4","D06A5","D06A6","D07A1","D07A2","D07A3","D07A4","D07A5","D07A6","D08A1","D08A2","D08A3","D08A4","D08A5","D08A6","D09A1","D09A2","D09A3","D09A4","D09A5","D09A6","D10A1","D10A2","D10A3","D10A4","D10A5","D10A6","D11A1","D11A2","D11A3","D11A4","D11A5","D11A6","D12A1","D12A2","D12A3","D12A4","D12A5","D12A6"
"Dapma7bEVm023360",2.13756173026399,2.22691914169442,2.27125501854475,2.16362368587442,2.15907002671579,2.42589335960478,3.23167173800326,3.80900567293491,3.39904942915943,2.30059998957218,2.10579428810502,4.46560681652171,2.07020692468267,2.05425117197699,2.20186647357863,4.542428033459,2.14045122511721,2.23346006691301,2.11289440919554,3.77308856238264,3.87212712608945,4.63096870327478,2.12212976549561,4.35449785020248,2.16635228544731,4.38169575385778,4.13350118795997,3.86306470874317,2.16339227993798,4.62094956673419,3.93099361384002,2.24073761260774,2.20676826527398,2.16333825123654,3.89719366022747,2.18833774961254,2.07548679974742,4.34070199306993,2.09840290047187,4.22460564025466,2.16631994038311,2.60461980727766,2.17348633524986,2.06251210585475,2.08510228975247,3.68734554956323,2.16151080728675,4.02257788223579,2.16280044446814,2.13594230900222,2.25822445134984,2.10473788048828,5.01644015215007,2.21236690140889,2.17060691528411,2.12463696593215,5.06598880113999,3.51017839369034,2.83634846315542,2.52392315474869,3.2527132441942,4.03875811264651,4.3200295022085,4.79548526632644,2.85342640779087,3.83557626813518,3.56067349717831,2.15126283955844,2.14012701128727,3.99058107461722,2.0556079580422,2.17994800051325,4.08428181414122,2.06837056181056,2.22729821239258,3.90806056686009,2.1583094897041,2.09152698789472
"Dapma7bEVm024246",6.13699037317372,5.69943869367491,5.78536738308801,5.94841075763446,5.99946610621236,6.09423976391551,6.60540129243567,7.34930715758384,6.45910309609588,6.91083014974136,5.23236160337242,6.435213803682,7.41272146848927,7.10679084953202,6.06047366237707,6.13803700078936,5.12927724531702,6.09829934438357,7.44152610957273,7.42055520972301,6.92112983385763,6.35824035783438,7.30810815728066,8.16050271018241,5.72462431340175,6.43642728833325,7.45032983396349,6.39485972182728,7.02675050960242,6.42109161202101,5.13344115591204,5.25725297163187,6.91742905385429,7.39055442139001,7.78132398925689,7.29212084405592,7.10560960181623,7.54323157288905,7.74053158867994,6.83389948122417,6.43303360447019,7.4702382448953,4.82611989177792,7.13132167202965,6.33414573500588,7.44991657797593,7.3176812392073,6.54708321733976,7.25386355174052,7.45681716588635,4.69582538309315,7.02833022986784,6.61977201231794,6.39718822290937,7.12743010380272,7.45188440952413,6.76802527144244,6.42945044841649,6.92803793603635,7.99748740237187,7.31951203565704,7.24445133588327,7.54899570572954,7.31880755430406,6.03000804334495,7.10443104814593,7.43560831734148,6.52520578051872,7.71616768195874,6.75578172472382,6.96595418324141,7.93354972353329,7.45695079018253,6.81843025977554,6.36531520803506,7.39348703094375,6.67970162774613,7.27598745045244
"Dapma7bEVm001479",8.13527337313573,7.38138113035404,7.55538905684563,8.16358449844789,7.68669450677062,8.03893219109615,8.68561383583191,8.80730260145479,8.88249227633736,8.25683155989156,8.16432905555401,8.46878668827389,8.59836697856508,8.18616287155272,8.87293136037916,8.88386924240438,8.75558854006677,8.3020169601141,8.13022142896141,8.70996484894211,8.23694921461888,9.05729508233637,8.78583479285357,8.65562465252829,8.77901690074074,8.81848929945474,8.79232349619415,8.48925573460899,8.34799325244505,8.87750330874625,8.74545366960083,9.28930015102846,8.4246164662043,7.79519475186673,8.64638942183718,8.98234596137587,8.10117892270759,8.52145173867804,8.0880344713282,9.05432392446994,8.82099835814709,8.37270062820316,9.73130492045065,8.45012383399592,8.53629731318712,8.54988934713171,8.96707563891125,8.38466276635672,8.5385810960733,9.07034007007693,9.21748576187489,8.97539654223221,9.34329487467023,8.03886491000778,8.92095931667371,8.57199903694111,9.27267854782338,8.38549015310014,9.08351953995849,7.65723959817536,8.73881668965808,8.40262862221806,7.92203046044216,8.71552854040576,8.17004700403929,8.60453794617105,8.80230707690279,9.12431141314841,8.99051959275332,8.97960848538538,9.38394712712527,9.09455729385643,9.61683820977009,9.18624820170974,9.47668407189966,9.2372271390655,9.69574042137995,9.0266583756722
"Dapma7bEVm028893",5.28963797326926,5.05521978533192,4.85832528810848,5.34603674196212,5.37042646701488,5.29470390375922,5.59598167877363,5.25773716699521,4.86824286685444,5.96927197175244,5.86809322077055,5.62638667779481,5.85415026459591,5.67827218825863,5.27533737560076,5.57303631874028,5.66297573996446,5.46748897180205,5.79008693528909,5.38024513744198,5.79073429179514,5.11096979964185,5.47223137286353,6.3602418621544,5.98100477190396,5.20787767795203,5.87667034469771,5.72747871769639,5.81083986878343,5.74817063345779,6.10953511686189,5.5838028282852,5.65601194907463,5.6117815629526,5.76830051774507,5.85475365611397,5.55529033756822,5.70509194487582,5.80341549818658,5.04548097937591,5.89891056163512,5.59291150352929,4.88993728782808,6.04062850818756,5.71195802216741,5.94947813796582,6.07978168777184,5.69744103624178,5.64491518317281,5.65454825078637,5.29594819372193,5.08466418024452,5.63838087645948,5.37897771955892,6.16211529345718,5.69369241710019,5.79238702199209,5.83666728710665,5.80569022953079,6.42754799115635,5.41075686403266,5.59223102884243,5.39775834350259,5.09022959570644,5.96910157981683,5.57260841393714,5.73294580299949,5.6714409891671,6.03223561692251,6.05067691432834,5.97155794743124,6.05030732753067,6.08762064694081,5.5957039744435,5.74800665731912,6.05927984191138,6.07448971117736,6.21046580571323
"Dapma7bEVm008063",5.86048002793392,4.88474531152847,4.66533027999846,5.51474983712946,5.21700746870962,4.23013921015559,5.63588225764158,6.1034478241072,5.52618279110287,5.34654990941297,5.75516519480797,5.32591222616722,6.02470546589072,5.71241006844415,5.16130195254496,5.20894011750745,5.66486066434956,6.45079930068394,5.91769403897374,5.93373971197814,5.52758409429716,4.71010445088454,5.80062111596388,6.33526891446092,6.28852957899417,5.67773840814807,5.93606307336105,5.71738725558572,5.75010533260102,5.15360703095,5.72670531034572,5.87001516573062,5.79804149494817,5.7333730488034,6.09809575370501,5.67238026372258,5.82170238824788,5.66601996879333,5.80018393577374,6.45421342815856,5.58717238620814,6.16747891697591,5.90992663911949,5.99215682892259,6.07319983752587,5.91224398713196,5.69059407837437,5.59591827904471,6.03279302556777,5.56090586304405,5.83200412409738,5.81642652312372,5.54854760286865,5.27170242654143,5.80237145032428,5.86288113028976,5.24837687618901,5.89449006756694,5.78412378058785,5.64875574762676,5.87737592474542,5.65181163372066,5.751549949128,5.64997538773334,5.57702222300703,5.79618521033272,5.75988246018747,5.41398489030884,5.87434571677191,5.63473324620665,6.11445529913232,6.61614950261967,5.84207333498516,5.89192765831863,5.07084391050472,5.51803835366715,5.94470819213247,6.09181315698625
"Dapma7bEVm001975",7.21488032665058,6.59516811574775,4.96197935615581,6.96276182606408,6.52142261236105,6.49236547536014,7.52659467941682,6.92166003829326,7.07456865798499,6.80688839615514,7.16693491554728,5.96095716849081,7.4800883603689,7.26106188930872,6.83662476284394,7.15683340915237,7.00543235791827,6.50695168932951,7.64901738038248,7.40581285175204,7.09313511296132,7.07798102044024,7.11140615992504,7.30884238564552,7.11470021539315,7.46059154187894,7.60033668376038,7.86378258539611,8.28061765013992,6.29569865230629,5.64971500644468,7.62079077277039,6.52604118922202,6.65035032841854,6.57648259771351,6.74120998615331,7.65002874654234,6.9379884632644,7.1656657362112,6.85177605840573,7.45279623099476,6.7764063002972,6.68390545355052,6.84492137750979,7.39148339233427,7.71054097523294,6.53497523848764,7.58824689091638,6.51733747236173,6.91148107700714,6.46848427148169,6.96775569966393,6.51044440430745,7.25881960722536,7.04453682500737,8.14512019945345,7.06350931624368,7.26281144035043,7.54154535126344,6.83607432898576,6.90666958154985,7.12362837494788,7.04109144773178,7.19067752710472,7.25459851907899,7.37567562015257,7.5300362880991,7.56739576711295,6.98900142258231,6.95205138094759,7.07043840519297,7.42585539924244,7.45895657551589,7.15561934367477,7.42893365096823,7.83082551806806,7.76482915687537,7.45279872605316
"Dapma7bEVm001463",5.41860512221481,5.04362297910453,4.80644212796498,5.69747495056124,6.01249443866981,5.59675812691756,5.55881789655325,4.83417048616343,5.25929469319768,5.77611290417634,5.35718702012734,5.12620443656194,4.55250615566328,5.33929296473455,4.37123223167173,5.48751243763711,5.51566872203727,5.3541895615901,4.84604403491869,5.06292949228543,5.19113303017283,5.19598281004216,4.75077778991369,4.61229945011904,4.91691318165038,4.87765230780333,5.04908382405306,5.07329035439194,4.90440507938896,5.01841827096256,4.99347970783107,4.7942695330544,5.24203679009021,5.07737215309131,5.062708061202,5.11425302203806,5.29832588602649,5.28392722812081,5.08113074481139,4.81388442810102,5.43793396385757,5.13938398942473,4.97382793798217,4.6706000347482,4.58014412524254,5.28578069992357,4.51022392053627,4.89611831835156,5.28111281351745,5.20679267492174,4.81005348229749,5.35136161217562,5.06608906227485,5.01810181674427,5.01330524283613,4.96453131736794,4.52162392354509,5.60979200589687,5.08113980989851,5.19066292951403,4.87940722407671,4.70477301086747,5.12998351569316,5.70532176838628,4.97911795947926,4.51075705626357,4.81330945809074,4.90443532274021,4.60362033260022,5.23243710042132,4.24602261720365,4.1935492268074,4.60171553853908,4.73801493771375,4.60874495679063,4.57852812905022,4.18487598434761,4.91334127125875
"Dapma7bEVm000474",8.45847907014711,9.44356381992693,7.71853837261248,9.0676159622178,9.25216012536239,7.76059407423229,8.85037894620119,8.26178449511215,8.16717236655673,8.49368995226962,7.6857333095184,7.74658120668617,8.04555603870806,8.82540222653425,7.70076768002016,7.43809931424051,8.40507758090485,8.6475324033788,8.60733648640798,7.4389641179856,7.41970795747614,7.18449748184578,8.29567410093977,7.73075547947114,8.21952907914918,8.35604023226531,8.43859226268112,8.85959115698252,7.44649673276578,6.84736373118483,7.27717403672079,7.70161433795265,8.40343339847834,8.04264906992824,8.69425590997323,7.91650473932285,8.29200817432496,8.64794951768972,8.09683008856691,7.58038492118333,8.8853888089165,7.79430409381627,7.47734019106529,7.91226651880548,8.07301282108912,8.66511036489871,7.19076472265587,8.1724558628314,7.65076295546969,7.56342787615722,8.06596696421614,8.66955939724237,7.51544355263372,8.02631307925503,8.76509699056787,7.87963229689273,7.40037611847585,7.9490696015004,7.47701693344535,8.02055140506466,7.37350754346205,8.27735100046697,8.83907303987848,7.54391771475641,8.51702336640026,8.56361091242561,7.83385464976272,7.68530413302244,7.3858851032751,8.84387454115055,7.43226678714783,7.99691706003329,7.52478855475827,8.34701789486084,6.9457844222357,7.51679526296283,7.61805494975507,7.6836262989398
"Dapma7bEVm007224",5.23959955928219,6.10480983903265,5.62091812265394,5.82892062149186,4.93117741218454,5.20358250451858,4.87899474294071,4.52645423668664,4.99008309361029,5.56459765269018,4.90583032010555,5.0317833991568,5.21340648642254,4.79905103811553,5.2821524531442,5.56092300846755,5.21973437182294,4.99388186179413,4.9595700948492,4.62154860513184,5.23243322707476,5.24534655207901,4.72023279137975,4.25159124098505,4.82613613802609,5.17228930525653,5.13743107828001,4.98657332915589,4.84263797800722,4.80448616593424,5.07867243290654,4.87168113773009,4.95717320959307,4.81382959696351,4.85315236526675,5.20112880523295,4.85557835291618,4.89497946378884,4.88785854126807,4.72045816667321,4.88262422621804,5.005244752243,4.62561592333915,4.71832018350035,4.87315710925311,5.37268339787744,4.88962580963386,5.00853001726173,5.0669020607747,5.48202214135771,5.3941519061435,4.80099166116139,5.24911064526093,4.979062325603,5.30773395296825,4.89458408177824,4.80069018579474,5.11857862415181,4.93530895504045,5.24112679062213,4.92125818368795,4.96745818764653,4.67475246428125,4.17436348120841,5.04160739563564,4.82527042757143,4.9951588362943,4.70549605154486,4.9205616979011,5.09756917013319,4.89233312341974,5.35043077697573,4.95064553376822,4.89457928535818,4.86196270090045,4.97284020753637,4.70298230990943,4.77729152716712
"Dapma7bEVm009528",8.37005761661559,8.30847733762132,8.10046170641704,9.21876046589304,8.25466281015691,8.75813569569501,7.7091000325743,7.57413891470622,7.95721531619371,7.01590034944897,7.30638248124311,7.8633090921331,7.96887870378421,7.91981851351611,7.92270919088098,7.69796003185926,7.77968017095058,8.04335518547655,8.07395158600161,8.03249419661126,7.48308110044285,7.31896428317191,7.7707158328701,7.76514966581868,7.35583442557927,7.99665937549117,7.6712003438189,7.9146637580453,7.35277093023893,6.99286211329154,7.83379801923383,8.03681752890388,7.46153582843683,7.3310471087765,7.11930322778947,8.0265076268175,7.48128008107589,7.339136211683,7.28671595662577,6.85160587206685,8.29649887266528,7.4555699226008,7.45329902885547,7.58351272345377,7.22277821592186,7.22234176219433,7.30585081051458,8.11932295401038,6.78614451773691,8.12560819891736,6.98470437253509,7.5046728203738,7.67292268653526,7.9215798444077,7.7468733272853,6.90440429401634,7.70062255339626,7.95067700074539,7.92860698581943,8.28426978086685,7.82891726341103,8.04761526115445,7.72002836902398,7.36427560533109,8.46337210003496,7.49987150247093,8.27341737531088,8.34908282071801,8.32120553021088,7.84079387087077,7.77039833051346,7.8732407146722,8.28934758359097,7.72712270441975,7.01767900880995,8.23867968741832,8.29371427827196,8.36810817890754
