"","Control","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12"
"Dapma7bEVm000001","8.402915","8.515445","8.419717","8.482829","8.558459","8.417924","8.411085","8.469748","8.394926","8.687282","8.500689","8.613080","8.661250"
"Dapma7bEVm000002","10.605086"," 9.923840","10.308664","10.176342","10.257764","10.056271","10.386855","10.388321"," 9.877956","10.527654","10.476467","10.463657","10.220431"
"Dapma7bEVm000003","7.123421","6.479311","6.186757","6.314588","6.423839","6.365378","6.346492","6.682402","6.573151","6.364557","5.978474","6.365113","6.680746"
"Dapma7bEVm000004","6.035484","5.169298","5.856797","6.032922","6.098248","5.323585","6.212803","6.256318","5.309688","6.272542","6.425331","6.221646","6.222981"
"Dapma7bEVm000005","7.897488","7.547503","7.106709","7.560900","7.889514","7.238598","7.281561","7.778026","7.110743","7.245833","7.196308","7.193089","7.128492"
"Dapma7bEVm000006","9.299176","9.258522","9.181682","9.040505","9.020752","9.099783","9.190172","9.121011","9.210783","9.116551","9.179851","9.187449","9.092601"
"Dapma7bEVm000007","4.761083","3.367439","4.275251","2.965728","3.512966","3.472450","3.934682","3.400475","2.864461","3.457623","3.958182","3.951671","4.035112"
"Dapma7bEVm000008"," 9.999410","10.152796","10.021513"," 9.979647","10.000475"," 9.877221","10.004117","10.037773","10.049214","10.008590","10.128029","10.141074","10.189690"
"Dapma7bEVm000009","10.66293","10.53054","10.54323","10.61893","10.61995","10.53468","10.64287","10.52822","10.54098","10.65926","10.66649","10.73646","10.66308"
"Dapma7bEVm000010","10.229928","10.224414","10.109544","10.073712","10.193595"," 9.972716","10.083477","10.097374","10.043151","10.037627","10.100524","10.061667"," 9.998752"
"Dapma7bEVm000011","11.232216","11.181345","10.850862","10.016625","10.687363","10.930527","11.197692","10.697738","11.005451","10.750899","10.770159"," 9.567074"," 8.981377"
"Dapma7bEVm000012","10.792321","10.061189","10.091720","10.053522"," 9.999959","10.555043","10.493214"," 9.979566","10.249918","10.412322","10.193983"," 9.604331"," 9.018246"
"Dapma7bEVm000013","18.62353","18.49254","18.48643","18.77245","18.59281","19.00596","18.68897","18.50763","18.78314","18.49839","18.59279","18.38755","18.23759"
"Dapma7bEVm000014","8.411077","8.501463","8.638382","8.512636","8.624310","8.487553","8.546086","8.425314","8.514700","8.727431","8.727565","8.677162","8.630305"
"Dapma7bEVm000015","8.236549","8.007146","8.250227","8.354872","8.226840","8.038994","8.340033","8.254012","8.177113","8.360885","8.512604","8.900831","8.740682"
"Dapma7bEVm000016","10.091150","10.177913"," 9.804859"," 9.529985"," 9.752165"," 9.806306","10.039331"," 9.789089","10.073884"," 9.777181"," 9.729138"," 9.176964"," 9.088279"
"Dapma7bEVm000017","9.261328","9.129468","9.096841","9.113277","9.174144","8.959181","9.127155","9.273132","9.112834","9.209334","9.230795","9.272706","9.196382"
"Dapma7bEVm000018","10.124014","10.052253"," 9.885846","10.097257","10.163756","10.044089","10.066869","10.220332","10.073056","10.118765","10.120702","10.223437","10.146801"
"Dapma7bEVm000019","9.622291","9.431648","9.368461","9.393712","9.432333","9.435348","9.492180","9.516112","9.374272","9.440684","9.471461","9.515975","9.326783"
"Dapma7bEVm000020","9.000286","9.032708","9.127506","9.516907","9.171090","8.987410","9.052644","9.250184","8.997551","9.101271","9.163242","9.615012","9.696010"
"Dapma7bEVm000021","9.830552","9.774611","9.653007","9.663821","9.751070","9.574462","9.686607","9.710053","9.633094","9.738293","9.693170","9.660806","9.609847"
"Dapma7bEVm000022","10.71751","10.49355","10.47299","10.65602","10.72932","10.47966","10.65295","10.66454","10.46916","10.69650","10.70673","10.53921","10.50882"
"Dapma7bEVm000023","8.803088","8.908933","8.813665","8.850287","8.775583","8.827297","8.824707","8.759770","8.839276","8.861076","8.929795","8.802281","8.908701"
"Dapma7bEVm000024","7.252182","7.262088","7.275615","7.516992","7.325474","7.572978","7.446620","7.328219","7.573962","7.110848","7.444211","7.395137","7.302998"
"Dapma7bEVm000025","8.011197","7.894693","7.917128","8.069060","7.625592","7.632034","7.977515","8.033704","7.896506","8.028451","8.018486","8.034882","8.173452"
"Dapma7bEVm000026","7.423780","7.119107","7.210877","7.405920","7.376548","7.320425","7.647795","7.307675","7.218077","7.389523","7.536946","7.580600","7.364756"
"Dapma7bEVm000027","7.293918","6.973310","7.111777","6.974507","6.781112","6.977974","6.963342","6.778972","7.191985","7.461638","7.484479","7.224376","7.578637"
"Dapma7bEVm000028","7.920354","8.021626","7.887282","7.843884","7.800787","7.963864","7.932224","7.942792","8.014587","8.055410","7.853176","7.879903","7.668071"
"Dapma7bEVm000029","10.32310","10.30072","10.29129","10.37975","10.35175","10.38164","10.23672","10.37946","10.33426","10.29616","10.22899","10.28144","10.46662"
"Dapma7bEVm000030","8.890038","9.255534","9.138615","9.343754","9.274984","9.160870","9.309206","9.183452","9.245527","9.251440","9.298386","9.345926","9.303930"
"Dapma7bEVm000031","9.038285","8.955155","8.952526","8.832995","8.998731","9.071115","8.863251","9.013920","8.926289","9.092626","9.029095","8.800305","8.795996"
"Dapma7bEVm000032","9.750853","9.661697","9.599591","9.687304","9.862701","9.660026","9.876708","9.755314","9.709409","9.762496","9.775452","9.654479","9.515461"
"Dapma7bEVm000033","7.026017","7.301131","7.358438","7.368795","7.357253","7.309350","7.380761","7.232576","7.289386","7.324176","7.441758","7.590385","7.642020"
"Dapma7bEVm000034","9.006778","8.911082","9.178870","9.047702","8.955038","9.003052","9.174524","9.088954","9.017123","9.023491","9.265662","9.426708","9.402929"
"Dapma7bEVm000035","9.656763","9.652774","9.638750","9.765522","9.685850","9.750055","9.771097","9.878142","9.656990","9.796742","9.832940","9.996850","9.860080"
"Dapma7bEVm000036","7.551407","7.880229","7.550188","7.529710","7.750721","7.553925","7.570016","7.615239","7.814356","7.606545","7.572236","7.628585","7.731022"
"Dapma7bEVm000037","6.846482","6.572874","6.914207","6.593544","6.685086","6.603772","6.377223","6.445861","6.490278","6.878027","6.870160","7.178649","6.808642"
"Dapma7bEVm000038","8.611576","8.491807","8.178162","8.417233","8.246095","8.523136","8.301012","8.176021","8.464925","8.104944","8.431853","7.679438","7.483502"
"Dapma7bEVm000039","9.867295","9.543624","9.420135","9.321079","9.549119","9.558701","9.900951","9.409748","9.511911","9.818486","9.763778","9.248424","8.923814"
"Dapma7bEVm000040","9.043719","8.918022","8.928667","8.958140","9.086441","9.039800","8.961358","8.963717","8.974788","9.014260","9.111907","8.837563","8.845393"
"Dapma7bEVm000041","9.431373","9.569881","9.498068","9.411457","9.549531","9.538870","9.563396","9.416009","9.591516","9.600648","9.507070","9.506186","9.370460"
"Dapma7bEVm000042","6.289460","6.100259","5.986723","6.020622","6.532983","6.075377","6.296518","6.105986","6.180505","6.390509","6.192653","6.212577","6.065450"
"Dapma7bEVm000043","9.612979","9.977456","9.586206","8.756101","9.484327","9.377203","9.630585","9.161803","9.734389","9.158653","9.298888","8.371195","8.148563"
"Dapma7bEVm000044","8.463966","8.570374","8.503620","8.404603","8.595017","8.642770","8.403198","8.560785","8.559001","8.618898","8.671520","8.567497","8.518841"
"Dapma7bEVm000045","11.13820","11.07651","11.02994","10.87602","11.05433","11.00437","11.03429","11.07662","10.99481","11.08990","11.04332","10.97659","10.92186"
"Dapma7bEVm000046","6.313912","5.283119","5.114026","4.511344","4.397709","4.893349","4.692331","4.618032","4.499650","4.990022","4.558039","4.955423","4.710831"
"Dapma7bEVm000047","5.947487","6.139795","5.758173","6.407802","5.971769","6.450385","5.976955","6.026452","6.457568","6.331371","6.091434","6.225357","6.761690"
