,mz,CK07,CK08,CK09,CK10,CK11,CK12,D01A1,D01A2,D01A3,D01A4,D01A5,D01A6,D01B1,D01B2,D01B3,D01B4,D01B5,D01B6,D02A1,D02A2,D02A3,D02A4,D02A5,D02A6,D02B1,D02B2,D02B3,D02B4,D02B5,D02B6,D03A1,D03A2,D03A3,D03A4,D03A5,D03A6,D03B1,D03B2,D03B3,D03B4,D03B5,D03B6,D04A1,D04A2,D04A3,D04A4,D04A5,D04A6,D04B1,D04B2,D04B3,D04B4,D04B5,D04B6,D05A1,D05A2,D05A3,D05A4,D05A5,D05A6,D05B1,D05B2,D05B3,D05B4,D05B5,D05B6,D06A1,D06A3,D06A4,D06A5,D06A6,D06B1,D06B2,D06B4,D06B5,D06B6,D07A1,D07A2,D07A4,D07A5,D07A6,D07B1,D07B2,D07B3,D07B4,D07B5,D07B6,D08A1,D08A2,D08A3,D08A4,D08A5,D08A6,D08B2,D08B3,D08B4,D08B5,D08B6,D09A1,D09A2,D09A3,D09A4,D09A5,D09A6,D09B1,D09B2,D09B3,D09B4,D09B5,D09B6,D10A1,D10A2,D10A3,D10A4,D10A5,D10A6,D10B1,D10B2,D10B3,D10B5,D10B6,D11A1,D11A2,D11A3,D11A4,D11A5,D11A6,D11B1,D11B2,D11B3,D11B4,D11B5,D11B6,D12A1,D12A2,D12A3,D12A4,D12A5,D12A6,D12B1,D12B2,D12B3,D12B4,D12B5,D12B6
75_02526269,75.02526269,1670.885982,1412.141854,0,1529.355371,1510.953662,509.626995,1066.119733,3634.688341,3461.089389,1224.843849,1251.318218,0,902.8356594,801.3862657,1437.337194,1503.161519,749.1979067,2057.998257,1423.51667,1301.648248,7697.093985,691.7530046,2936.175642,1748.424707,2008.115282,1585.314902,1030.731395,778.565722,1510.672902,713.837397,689.8795787,1967.198045,839.7948317,1733.876792,1202.858601,1103.514502,1006.996285,891.0482426,2543.284599,1045.664883,753.0591972,831.109408,1153.518132,2269.223111,738.8662813,870.7140968,1742.847811,1939.264612,1254.356561,1419.329366,1624.655268,1499.038442,682.6048685,1949.082264,1700.849746,1306.733251,3353.827368,2425.24697,2003.152411,1122.602571,2295.805929,0,1323.550249,1496.775017,890.5201676,0,1545.938983,1267.313833,1235.215757,878.3627122,3271.171457,1086.213,1907.123882,1917.226287,865.902365,483.4750849,998.9973497,1405.836963,719.1887669,1712.941495,1591.228303,513.574759,1886.704261,1452.079095,0,828.0047414,0,486.1788732,1073.908265,6774.293792,716.4933177,549.8238184,870.5892927,0,662.2329519,0,1111.790923,0,1773.242254,2135.030876,1832.947993,645.7042024,617.4556619,993.359696,3396.604168,1083.374688,657.7782538,952.2413481,1045.673922,1132.987782,2053.167362,3511.733285,5307.87454,2225.740858,0,761.3785965,3672.314238,920.2597497,0,797.4738576,1233.054726,829.8199325,1705.875415,668.3505685,1348.14593,1298.45382,1963.877143,1092.007272,1371.730991,690.7224394,0,1127.628368,2833.058614,1628.27335,1808.150373,2993.275109,1064.429712,1637.145593,1355.225705,0,966.0364716,1290.872045,1195.089126,1255.507993,1197.892185
77_01235688,77.01235688,933.70349,1036.294941,0,867.3790018,1272.837791,414.291856,976.5998867,1520.48167,1597.765888,954.0231124,995.7086276,0,0,489.8904108,1019.365564,1170.772118,0,1438.517142,1080.483567,704.2349769,2789.463274,529.2299195,1100.139164,1175.305373,1078.383688,674.0870803,695.6857159,0,743.4858564,0,644.4570452,1450.194902,886.7423601,1418.264157,886.3261955,701.3863874,540.318771,660.101615,1635.783105,670.3744657,605.848008,631.067145,995.3506909,1277.599998,655.2963325,572.274471,1066.035819,2510.172937,618.689568,1286.668039,1510.214262,928.4333741,615.9330817,1252.94572,1422.334228,950.3980716,1957.383974,1619.009646,999.8342139,643.7576735,1436.809336,0,1177.702463,901.5117488,501.4375947,0,1205.553232,787.5947561,843.7484698,723.1020847,1415.889622,611.2303128,1283.898288,1219.166002,827.2394058,418.8041373,911.9971678,875.7586392,761.9389475,1284.220362,1023.233525,0,1670.706167,713.2156176,0,0,0,474.3267459,613.5055654,3499.324613,681.3816615,0,638.0589116,0,619.4703521,0,623.9585482,0,911.6061133,955.4967098,720.4684427,504.049705,545.435317,778.5189394,3629.452382,1216.141822,510.0292575,617.0308711,806.8242667,810.2614819,1602.587736,1153.637227,2580.763059,1456.773824,0,734.6220571,2266.844672,931.0518654,0,0,982.1846878,0,1109.729495,682.3069117,925.1623564,950.300566,1023.003807,690.9905324,918.9654518,0,0,768.1754217,1239.739056,920.3577747,1300.719482,1988.849503,1221.860069,1249.174464,967.0896867,0,599.3464629,1162.228062,611.870527,790.5625867,839.2366249
78_95837265,78.95837265,1546.508308,1844.028758,3140.010322,3604.583852,5446.049767,23142.89383,1005.887535,1739.362148,1491.038382,1226.875754,1306.420465,3120.556698,3866.442907,2744.489483,2943.969854,2221.765407,46354.76392,2868.644428,2498.093041,944.5856564,1932.417045,1336.158163,1688.033413,1948.054808,2814.868824,3055.376678,2116.552656,2712.24746,789.5248286,9904.601009,2453.504029,1427.339337,12057.30718,2919.007334,8170.078526,1391.499343,3992.376913,2823.367587,1686.413422,2406.771297,15995.62388,2085.127394,3827.308328,2781.886649,2464.366717,1440.848696,1798.860269,7878.480448,18785.37346,2105.398704,2130.823885,2469.270657,2531.868563,1226.293546,2833.939083,2186.544709,2132.959837,1780.762508,1037.388642,1879.529899,3848.107264,18411.93127,1160.478827,1705.280247,25928.92017,4246.191109,1130.291487,1529.699102,2415.726374,1858.096355,1838.034519,2330.23812,1660.424809,2370.20505,3534.778582,4403.713608,8169.025877,1906.323531,2250.875573,5054.04768,11174.2923,26354.87244,1811.19556,946.4777202,22473.03078,6841.34242,28478.98572,1692.193237,986.3270273,3453.725062,2189.172174,15216.68148,2763.08532,21915.91677,2309.147129,26355.48668,2759.948412,33339.90531,1633.490979,1815.631555,1788.740342,1462.122842,4975.133354,13801.81788,9881.945423,2212.22506,1869.31153,1844.494171,2180.129818,3001.480269,2408.2254,1995.015819,2637.783734,1633.68176,4727.391159,2894.39358,1960.535273,3113.884275,23816.06361,3773.378731,2100.184871,21263.95451,1971.524615,1582.705344,2430.103705,2366.763332,3789.059994,7359.329658,2700.685777,3724.221554,7069.566594,8420.412752,1893.64705,10975.27035,3102.415105,3193.311299,3178.936221,1284.159556,5096.720949,3585.015307,1788.482447,2109.383118,1918.363634,45439.4291,1087.220965
80_9161215,80.9161215,2846.723471,6072.298688,2049.261645,2417.566128,3309.454688,2528.950383,2665.966905,2852.353957,3640.962289,2509.07588,2645.310959,2332.528905,2522.776267,3104.028728,2831.426235,3594.470545,3508.192944,2123.167349,2307.287531,3080.494356,2841.951917,2464.681237,2762.669622,3338.84351,3655.116623,4336.297205,3133.263766,3517.779829,4160.879225,3521.567982,2780.253739,2405.978209,2530.524136,2320.874868,2371.010982,2204.057148,2921.718234,3685.772556,3068.684529,2747.91211,2244.556972,2577.350863,3283.54374,3204.679289,3570.741403,2809.609865,2544.90215,2170.638965,3310.391115,3074.786206,2825.43695,3514.986312,2913.56823,3078.901351,3183.893229,3458.299226,2948.431637,3521.051197,3080.984188,2718.367949,4866.513595,2650.700119,3994.237067,4737.386795,4107.327891,3553.467523,3113.40469,2548.184846,2969.102251,3791.210104,3563.49332,3431.785986,2880.48172,3359.890468,2432.100997,3597.418424,3083.936293,2469.753109,3337.281352,3832.427423,3358.954415,2553.383341,3061.185431,2306.809797,2934.502908,3640.728356,2314.403107,2751.496961,3179.868445,3409.172865,1945.030154,2792.341609,2477.979449,2641.773617,3019.966545,1850.53803,3060.632069,2248.090312,2467.97325,2643.36539,2818.668765,3630.928802,2559.436008,3118.397224,2669.879743,1660.643842,3076.486765,3154.817097,2479.361426,2580.782502,2842.319007,2678.191627,3855.91615,2816.533229,2878.256908,3013.456595,4325.854826,3778.991147,3431.064508,3822.985085,2992.053753,2825.893232,3106.243535,2562.153364,3749.07702,2185.870451,3103.147156,3410.910331,3319.849749,2980.214055,2508.721924,3590.692255,2778.814611,2914.34389,3151.696357,2632.611056,2485.451247,2492.709044,3280.041339,3412.484209,2743.39021,3042.3671,2736.221019,4270.551865,3131.463559
88_04013363,88.04013363,1446.917561,1333.648104,696.6247913,1340.071862,1570.528084,1463.253223,550.8397548,1092.933903,1017.065959,536.770573,430.224305,1220.391472,1129.567182,687.8797318,1007.146104,948.417501,936.1324381,0,826.203787,573.0756908,1020.764217,891.4571526,1552.003962,841.8908594,0,1357.63808,696.9081302,972.1433647,916.6077992,980.9186,925.7563832,949.4575288,1029.728985,1244.673162,943.3499742,1110.506715,805.1125546,1136.940696,610.2387747,1078.016017,1002.44387,758.0570928,1275.260126,1319.831373,1346.056208,949.8095919,894.3989175,890.6698937,1241.397897,748.248322,934.4531671,1248.200082,850.2601792,891.1978589,1095.651689,823.1198591,1162.824897,967.0487046,851.2977518,1064.046533,811.597239,1816.696239,1386.05418,1432.596676,818.2265262,1072.593242,892.7903315,1077.150052,1142.400772,809.4022283,1022.464476,620.4808961,1485.975823,1742.13532,1068.802604,785.3270334,715.1331074,615.0943323,999.04305,1472.279051,1392.289365,996.9327262,961.8339242,837.9681714,1391.457281,2437.272215,875.5718762,1074.959277,817.8876473,796.0668056,893.5085134,1075.734477,888.2038096,800.316859,995.9192025,0,1384.510693,1041.945696,918.384134,1235.359344,1025.718837,989.7829118,839.160161,1183.728348,1118.859474,1195.003515,904.1661446,826.1329949,914.1771468,0,1100.693304,879.5354562,1427.252998,765.3762913,1017.471349,1162.375662,1223.487496,992.0221988,1036.363586,1254.217802,723.9803162,0,1242.580945,985.1072106,1478.647855,830.186687,685.4051404,946.237913,1278.845631,1301.798547,1032.442007,986.652019,778.0209653,608.5638277,1377.836997,937.5568589,1131.677273,821.636115,1393.148986,0,1336.670363,1258.10338,945.6192288,1148.417521,720.355185
92_92770529,92.92770529,751.9978041,1411.686274,0,0,0,2306.126695,889.5373087,940.0243953,640.8432366,857.7760206,1069.370877,1132.167581,0,648.2751326,0,0,6389.034471,0,1156.522642,820.0594911,1222.20109,984.965263,1595.6487,824.0351169,939.6218699,1033.009382,1000.276182,764.7850152,1131.661634,967.3014958,783.086955,1029.317313,9270.40058,890.5827844,650.1144967,1414.237153,0,1163.349541,916.4409653,1018.796376,4938.686561,904.7683949,0,1538.018136,743.5243034,1213.896616,779.7631651,3449.725788,0,748.7428479,1275.273716,1077.079944,899.8403039,1284.70311,957.7098837,0,1123.979631,669.1070327,1324.221935,708.5001602,544.0930169,40263.38625,0,1211.264685,7507.981357,1028.032418,1060.39962,1408.276265,925.6549309,730.9782584,1184.321219,508.7265389,0,871.7708721,0,1268.823578,955.9166122,871.444072,1122.423518,987.0029256,1401.202645,7190.663234,666.863864,893.8724584,0,1130.347556,12664.6724,697.6739429,1379.485507,636.365414,992.2955591,5469.688207,899.2095662,10386.7023,1086.390269,10188.92399,793.0224962,0,873.8961638,1154.332574,832.1319403,1157.436984,0,1144.275185,0,1080.800157,1069.499982,795.9106047,1074.591392,802.5565325,0,859.0149277,1222.624407,1556.179501,9076.444605,1067.345007,920.1443973,858.7264203,12398.52563,1395.505285,857.1524434,0,570.5656172,1252.694581,1250.880559,0,1135.945124,979.8672162,967.4166616,1156.205906,0,2126.762668,930.0595519,652.1743357,0,754.1458569,656.7503276,0,707.0576972,0,1077.684564,961.3634264,1082.221358,9568.467857,1169.436301
94_92414748,94.92414748,1358.006674,3376.413186,1416.411227,1196.119711,1672.461859,7330.885212,1506.655894,2536.69944,1375.449494,1795.284475,3327.198453,2262.723059,1430.826645,1595.113763,1227.973969,1773.020472,18803.41347,0,2607.589844,2172.400369,2632.280867,2766.652922,3725.095288,1978.450709,2675.114211,1999.455425,1784.318376,1754.00025,2928.116811,2181.575045,1922.594139,2952.275316,28913.79724,2603.724541,1585.180141,3488.433885,1645.732621,3498.020599,2521.674713,2350.929365,16054.45149,2069.922062,1317.24191,3212.942061,2261.717973,3035.336205,2133.510515,11799.18957,1435.342555,1934.203045,2082.520125,2361.47847,2187.301425,4077.887328,2153.174636,1715.011801,2222.224852,1667.192935,2639.299129,1914.250722,1617.206605,130240.3545,1635.234551,3266.039417,20417.4815,1595.577469,2619.740722,3252.088742,2613.981883,2069.64298,3310.844827,1314.145549,1370.390206,2016.904286,1237.93203,2567.175307,1722.417685,2187.184752,2845.688909,2163.405467,3691.393662,21358.46062,1428.794223,2054.115204,908.3529246,1869.359589,43606.69623,1487.682324,3236.960747,2115.199196,2727.512026,16539.26669,2345.732577,31124.02604,1903.683015,30585.48069,1474.624632,45648.34191,2309.130211,2732.361669,2707.236259,2634.738658,1809.968466,2847.500684,1944.476597,1973.72949,3231.575976,1470.539725,2162.603853,2766.542828,2248.340287,2363.457506,2615.098228,4047.840176,28397.43081,2288.914242,1886.621461,2196.044002,40380.37691,3626.394051,2269.39464,1926.212647,1474.642639,2599.962283,2365.302514,1191.242877,2977.044688,2285.835231,2480.475823,2885.310922,20697.67086,5398.841764,1767.325672,1677.115549,1260.235302,1725.377137,1737.196934,2159.03672,1758.526626,3215.15564,3127.820709,1987.384641,2686.30947,27317.89137,2786.277396
102_0550047,102.0550047,1455.95883,1449.431041,767.609064,1168.487518,1559.779625,1284.913127,602.6735185,1051.975197,1138.913848,683.9061325,717.0813461,852.5661088,859.6888082,1016.661139,1032.362996,1302.926864,1074.25482,0,1086.708715,845.2848803,1105.810729,713.5805181,1233.056198,930.3248352,968.5559701,1044.906879,703.6839455,1061.337906,933.7550082,922.0381005,1061.471005,1250.305975,782.3045655,1012.052014,670.558758,926.1767876,1101.356764,1131.633132,774.4093634,1096.320972,841.7857907,1019.780069,1159.073168,1310.980226,1429.932068,758.065384,875.022265,814.0032083,1148.876949,784.05396,1061.727547,1101.052123,1024.290875,1019.990355,1055.638422,1228.543068,1063.189015,769.3094654,1023.924329,1231.843494,1264.370639,0,1098.669591,1124.042668,679.3265674,1473.305628,1004.379178,876.5438454,1342.363476,834.8468024,935.3879723,1021.839325,901.5815231,1280.393003,876.374952,795.9257804,867.012778,895.1713908,891.2152244,1441.146399,1369.662607,930.1825683,1340.037402,1065.445632,1388.686893,1670.062773,1087.220731,750.0071726,676.2473337,1230.295848,913.6303943,626.1053074,941.6741014,897.0144124,1101.093602,1005.978111,1099.900892,818.8670288,950.1086813,959.8150698,1301.36093,1026.513657,750.2448341,1164.077467,1529.601681,1091.194906,1011.224411,1098.843994,844.4897812,1138.480368,1274.015987,1076.083623,1419.083261,1162.175999,1051.171141,1481.134914,1167.04317,1125.081414,1064.10499,1385.687903,938.5393068,1402.203787,1181.252449,931.0671481,1589.447925,1028.636065,943.9257043,855.8084064,1023.896383,1077.816004,879.7639816,921.4104136,941.682436,765.1008394,1887.653673,1385.305872,1336.664211,1107.630638,1328.182303,0,1041.856075,986.1189506,901.768318,1065.137937,1003.36162
104_034937,104.034937,1086.320013,1542.357908,1770.35476,1352.026461,2802.884289,1240.344411,702.8097015,1210.978132,1025.663418,698.4059026,690.6619455,1657.675969,2422.051042,1104.008245,634.5966826,886.1233575,978.377379,1446.202237,1035.250287,786.8864,1224.894784,701.7254588,1341.054454,948.98312,1905.92491,1220.188793,733.3656032,1653.506855,934.165395,929.3668319,849.6873304,1329.69221,1290.181058,2349.583886,722.9595802,1104.906449,843.5737407,1107.183976,927.5177603,1235.897914,1028.767496,938.7298631,1177.252079,1478.270755,1281.752737,804.1636248,1180.364953,836.6939513,1527.239548,704.1349614,1113.045162,1006.299953,868.3793207,1164.449282,923.1749708,1547.172017,1026.426281,955.2881251,877.5812604,891.2914521,1652.467736,4675.560727,1131.30705,1822.11401,799.0006462,1249.607709,799.7536412,2744.403758,1396.030435,1506.624206,976.2302235,786.8707193,1133.400658,1588.456566,1020.965413,947.7495557,1047.409869,460.3720443,842.7830351,1754.685888,1497.771,993.0753055,819.0167794,764.4814227,1067.43353,3535.261161,893.0946785,1511.238345,1004.372999,1348.053078,1162.681927,1077.694941,813.1547822,924.3083336,1061.969773,1101.031107,1062.387856,1076.646116,858.7590894,1035.700533,936.5365046,1348.209727,873.6746737,1746.55056,1511.83322,1362.104501,884.1050878,762.4113523,656.2239303,992.6275001,1357.254766,794.6174714,1158.838658,1044.063493,1518.068216,1589.004309,1255.536706,1297.112121,1228.294088,2158.803118,636.0253116,1892.06026,921.0089084,848.2799097,2101.647752,1021.957413,897.1276695,926.7285932,2028.494557,1214.259878,1300.662294,1363.451273,1072.105954,929.3699599,1030.613974,1175.658454,1177.063124,667.2075873,1635.105169,1533.323412,1060.702447,1051.391137,728.9607034,2453.587773,774.7545815
116_0712257,116.0712257,2163.034281,2258.680731,0,3600.816742,0,5595.279183,820.2606694,2507.72272,1644.895608,1309.963033,1486.575221,1721.501175,0,915.5869603,1298.876511,944.447355,1059.563677,0,1795.526088,970.1056637,2711.074069,1399.230833,2506.616482,1563.781312,1709.995706,1461.624921,1125.584289,1166.948834,1568.754615,1362.991825,1431.594598,1173.26967,2307.170091,2238.268677,2018.884329,2528.94632,994.0036001,1478.727025,1821.870388,2451.541936,2719.509174,1153.038172,1305.071973,1648.376703,2866.787767,1175.778403,1614.789801,1784.506493,2171.895062,1672.579836,1484.264125,1909.867099,2189.811462,1472.134008,1777.406455,1892.079495,1892.726594,1320.044683,1001.338373,1210.173932,2200.61702,1333.486111,1444.013108,1951.043363,979.3864211,1657.487854,1811.53044,3111.889735,1524.99162,1897.947512,1992.299335,1271.452315,2169.506265,2704.183874,2268.342814,1585.307262,1120.855197,1530.764927,1943.203444,1522.374518,2543.345413,2968.628944,1201.349709,846.7166054,1170.984457,4282.469393,1423.62369,2542.285782,2071.129255,2347.094745,783.751019,1962.108906,1781.541328,915.1846204,1639.189666,0,2486.596502,1510.37598,1430.414444,1939.519237,1766.544815,2084.318868,1050.552667,1977.279417,2492.010711,1885.936718,1270.105373,1238.396464,1101.309453,1610.518384,1835.359871,1565.860255,1610.977743,1427.830509,2331.940487,2140.626892,848.7309477,1600.715105,1468.17915,1363.243897,1157.646741,1155.111514,1022.203119,1209.389091,2040.871191,968.7802557,1649.772949,2261.468977,1586.881885,2712.673415,3307.411111,2064.157403,2284.080895,0,1104.821326,3766.322173,996.4294778,863.4988307,1447.443692,0,1938.958205,1264.194844,2343.031381,3184.149371,1057.763983
