,mz,CK07,CK08,CK09,CK10,CK11,CK12,D01A1,D01A2,D01A3,D01A4,D01A5,D01A6,D01B1,D01B2,D01B3,D01B5,D01B6,D02A1,D02A2,D02A3,D02A4,D02A5,D02A6,D02B1,D02B2,D02B3,D02B4,D02B5,D02B6,D03A1,D03A2,D03A3,D03A4,D03A5,D03A6,D03B1,D03B2,D03B3,D03B4,D03B5,D03B6,D04A1,D04A2,D04A3,D04A4,D04A5,D04A6,D04B1,D04B2,D04B3,D04B4,D04B5,D04B6,D05A1,D05A2,D05A3,D05A4,D05A5,D05A6,D05B1,D05B2,D05B3,D05B4,D05B5,D05B6,D06A1,D06A2,D06A3,D06A4,D06A5,D06A6,D06B1,D06B2,D06B3,D06B4,D06B5,D06B6,D07A1,D07A2,D07A3,D07A4,D07A5,D07A6,D07B1,D07B2,D07B3,D07B4,D07B5,D07B6,D08A1,D08A2,D08A3,D08A4,D08A5,D08A6,D08B1,D08B2,D08B3,D08B4,D08B5,D08B6,D09A1,D09A2,D09A3,D09A4,D09A5,D09A6,D09B1,D09B2,D09B3,D09B4,D09B5,D09B6,D10A1,D10A2,D10A3,D10A4,D10A5,D10A6,D10B1,D10B2,D10B3,D10B4,D10B5,D10B6,D11A1,D11A2,D11A3,D11A4,D11A5,D11A6,D11B1,D11B2,D11B3,D11B4,D11B5,D11B6,D12A1,D12A2,D12A3,D12A4,D12A5,D12A6,D12B1,D12B2,D12B3,D12B4,D12B5,D12B6
52_5086901,52.5086901,2324.186908,1370.717317,0,2336.585403,3386.455962,3127.110481,2858.97552,3666.640103,2729.922963,0,2339.736312,3615.539419,2225.419742,1890.07541,4339.816066,3198.390153,2514.818342,3743.414578,3799.05165,2751.474078,2839.403936,3722.894821,2613.74164,0,2297.897824,2580.208197,1747.724455,4849.374081,2750.051082,4116.142766,2322.054718,2273.899231,2048.567389,3164.439401,0,2930.290691,3185.90094,2559.999679,0,2462.79765,2140.361471,2458.96886,2643.460112,2040.812028,2480.204905,3377.988312,3780.587961,4779.953708,3146.815149,4157.549304,3014.138264,2224.477613,4738.904579,2044.494331,2239.056914,3880.832535,1942.553591,2733.183132,2981.735618,3821.026435,2524.634257,5370.397129,2643.986662,2339.595632,2324.626715,0,1857.432134,3037.116555,2446.902438,3830.838095,3671.953034,3514.355191,3798.717555,0,1694.194438,2220.627582,1924.924638,3898.071489,0,2393.384574,2636.919276,2639.643087,2446.508762,1799.754821,3676.293827,5134.639791,0,1973.111347,3243.532167,2034.539961,3677.941519,2961.155307,2430.403149,2762.744855,2576.061067,2295.164972,1826.285992,2260.308314,3196.281072,2006.897405,2298.142829,2598.493152,1948.826579,4949.259776,2809.74528,2630.160462,2621.656555,2145.201722,2899.479641,2747.917831,4177.375319,2185.4455,3343.492155,2697.782397,2468.449754,3399.404419,4452.27301,3639.613413,2783.844472,0,2825.477005,2242.890864,2565.194376,1711.197252,2090.916282,2754.539938,0,3172.406708,2987.718361,3345.813716,0,0,0,3076.879715,2699.209501,0,0,2236.79546,0,3820.23981,2302.457585,3740.002419,0,3569.923207,1804.438927,3270.793798,2523.785825,0,2065.107521
55_00295529,55.00295529,1720.684829,2679.671938,0,0,2435.995737,1560.124931,3532.232375,3065.93385,4184.840575,2548.300769,2874.428342,2298.672702,1181.988352,0,1245.331282,1828.880386,4811.715908,3946.451186,3230.574117,3993.076652,2794.747417,4283.157776,3250.409072,2141.307617,3849.286552,3003.997395,4034.737527,3765.946225,3437.800484,1809.426535,4960.512386,4053.587037,4182.396744,4339.660717,3100.918111,1941.770887,3429.487118,2881.264535,1721.687855,2349.767952,4008.542684,3132.791807,3808.307459,3333.90212,2863.611803,3924.128199,4652.581347,3139.647646,4255.791692,5585.183284,3528.688747,2304.438937,5480.833398,3874.860524,4786.157319,6180.433753,4200.525748,5221.48567,4717.329175,1883.51442,0,2112.84139,1984.961061,1857.686633,2260.892999,3323.633467,2020.90136,3141.453566,3813.714218,4104.731942,3949.554444,0,1693.836292,0,0,1515.65202,1467.899253,3649.842436,0,3452.01978,4698.058382,5064.135575,2876.101242,1390.371684,1833.263785,1736.253979,0,1783.377604,1843.530805,2466.287798,4697.158881,3817.134421,2815.912075,3999.770193,2259.52222,0,0,1746.119335,1566.640243,2132.343117,2132.960988,2705.675691,4224.478297,3586.975732,3766.697218,4706.896041,4265.55588,4357.643319,3843.399137,2588.560666,3752.363892,4124.175113,2964.615019,3570.362283,3085.143605,4429.818284,6465.21064,3836.363518,7333.415176,3294.795961,2427.555703,3188.621617,3860.526578,2024.298544,3507.867474,2838.465171,2314.67651,6597.282253,4940.706906,4091.562966,4339.086168,3288.47643,4080.845816,3194.334651,2070.575565,3702.333069,1808.099838,4812.236901,0,4568.55814,3751.501081,4851.64922,2175.992793,3986.880698,2969.913931,4459.446634,3928.329809,0,3312.516584
57_52371579,57.52371579,1780.161096,3362.313846,1239.046692,1973.038708,1894.752587,0,4393.747323,4167.624902,3493.709011,2911.729713,4512.965445,3159.575541,1576.307781,1744.486513,1764.164971,0,0,5451.814175,4030.168466,4692.262306,4425.646914,3967.561118,2815.581386,3218.88289,2106.993512,4052.76011,3177.411604,3166.096577,5039.495884,1825.88168,4090.98368,3631.810684,1935.485744,5144.509617,2833.283321,2531.205574,2365.825558,4480.718317,2230.077458,3755.062141,5003.693771,2913.109155,4970.783623,0,3979.727961,6399.917052,4594.971499,3476.760472,0,3441.14108,2833.007252,2655.065262,8552.678691,5227.343269,4894.884589,2107.16679,4846.342077,4828.557052,2787.423637,2275.431637,0,0,1958.649907,1837.655269,0,4597.636645,3303.180833,4349.352288,3390.852476,2645.188072,6527.321589,1650.957438,0,1561.570874,1559.340998,1344.435792,2283.451832,4236.408737,0,4011.025476,2110.993832,1850.34036,2698.694237,2182.561551,0,0,2858.959389,0,2820.770119,2652.080136,2065.558716,5142.636498,4446.313127,2937.5441,2878.355666,2866.719618,2315.537955,0,1968.129705,0,2194.199996,3109.398979,5094.948757,6004.800766,2893.271064,4995.37545,1448.033571,3318.416688,4581.984319,3006.97842,3017.43925,5149.885818,3773.54927,4713.917429,4532.411867,5745.472057,7446.579389,2229.717937,2258.243671,4539.448534,4007.363955,3882.3059,3085.0583,2275.025185,4763.55482,3505.788205,4339.815606,2661.399187,2145.661729,3041.169201,5530.47316,6123.729094,5983.666479,3304.78435,0,1894.172959,3491.112468,2861.221958,0,6043.811259,0,5101.366237,2581.712716,3081.738595,3982.064586,5730.920032,5515.740088,4266.827191,5436.477596
58_5036674,58.5036674,2938.246478,2141.423867,1830.850686,3060.184921,2707.450314,2674.077753,4270.648336,4046.016416,3136.08364,0,2731.454129,2667.020774,2280.853204,2683.073886,3952.742569,2865.353784,0,4759.73506,3801.532172,2649.555642,4110.770494,3258.436942,2760.638201,2000.680966,2078.732311,2802.959336,2095.91026,4734.426423,2857.317074,3970.036425,3136.508156,2185.988077,1484.476903,4040.805102,1682.932807,2796.727749,2787.958876,3154.02899,0,2577.961838,2414.870656,2753.683936,2933.237722,1498.200997,3251.522826,4141.760902,4364.807477,4721.589763,1962.128838,2964.357562,2641.923957,2127.461115,5845.490075,2711.906073,2603.191056,2195.721839,2587.131348,2846.721142,2596.628337,3841.825341,2078.801715,4040.715987,2497.771805,3196.606242,1287.805917,2517.201814,2380.016533,3216.704304,2845.754735,4052.825476,4386.640428,2971.913679,3453.01303,1692.815811,1847.777125,2063.64559,2938.976509,3955.614839,0,2767.488425,2013.877784,2370.24863,2591.860374,1884.237775,3472.612551,3747.404131,3019.706473,2207.619076,3619.502549,2457.741419,2421.300748,3794.777191,3199.138207,2716.236774,3206.92681,3887.105632,2704.201379,2684.312383,2410.365648,2016.358024,2292.645685,2699.22675,2901.460433,5430.012542,2511.370532,3647.789988,2340.790431,2091.986163,3235.50522,3402.489669,2919.150487,2833.621425,3759.351024,2897.089572,1943.015751,3899.349171,4640.403626,3434.608784,2402.150605,2485.368619,3054.046776,2425.916329,2934.051491,2338.174071,2664.976151,3527.399858,2125.170177,2748.124174,2372.03512,2604.892204,3341.75257,3906.533976,2389.247503,3078.058109,2331.041697,1431.565888,0,2672.963961,0,4146.454248,1622.742629,3891.056151,0,2928.738501,2740.982994,3150.36283,2638.056951,2823.002524,2109.276996
59_06858215,59.06858215,4626.568193,4796.240572,5468.476471,5157.903334,3735.104987,5047.28302,3385.663647,0,2111.43221,6092.585533,5886.361077,2225.039625,0,2552.348834,3703.589588,2663.781549,6327.779258,3988.908466,4596.583858,3183.88323,3977.375101,3601.097903,3257.27737,6184.648736,5529.556609,5500.110293,0,2009.255852,1823.188248,5645.933909,4943.894162,5739.303812,2429.113554,1607.617956,3732.819623,4031.234075,7804.117861,4043.724067,0,6017.373059,4784.380711,3785.795013,3927.116979,4340.132937,4585.811574,3797.266919,3342.74318,2169.698081,6077.525452,3733.741335,6200.543963,7739.080142,2901.110675,3724.520754,4179.887693,7041.445055,2783.940795,3914.108368,5886.556364,6350.186186,4058.127328,2642.837762,4070.094409,3189.217373,0,6613.730443,5696.186771,3382.22784,3819.569812,6234.00728,2445.754572,4821.109764,1452.668258,4428.535914,6082.695283,3208.956559,6432.800145,4954.095487,4575.846448,3909.079624,5726.758372,6597.20724,5613.906028,2409.220232,5715.842529,4503.401518,8041.798877,1105.368047,7754.063054,5129.614639,6229.186878,3170.290127,3690.733304,1994.820261,0,6916.238116,7562.693213,3171.113065,3249.281493,6813.609141,3030.514884,2577.270402,3087.706248,3232.588199,5280.104008,1823.609214,1747.333734,4384.333995,4752.284305,7018.428794,3007.036705,4547.891582,3977.480794,3175.176159,4591.669099,5608.292128,2767.174638,2015.595733,2013.404364,4526.106016,2533.378695,4918.004694,4217.872208,5293.43284,7027.269127,0,5355.378837,4127.953696,2832.054287,2543.127033,2508.147695,4690.738616,3819.295772,2792.454864,2373.666459,4737.386868,3689.018697,0,7017.55191,4567.802232,3330.381957,4670.743588,3304.611372,2398.803894,0,4340.971307,4422.170237,5326.886281,5339.131258
60_53180859,60.53180859,0,0,0,0,3019.780772,1936.946757,3987.641221,5783.390964,3479.165432,0,2152.524955,4010.342437,0,0,2295.962114,1679.995234,2894.932927,4639.163595,3921.359558,3839.377012,3206.575072,3684.10377,2382.756576,0,3259.626916,4160.652328,2975.943594,3770.12493,5072.620592,2988.208968,3516.625032,2808.130485,3146.596477,6312.364512,0,2949.79786,2727.237194,3643.581305,0,1874.881568,3061.793035,3118.398678,4040.86763,2052.572647,1858.027316,5685.512385,4745.635791,6556.319137,2935.127123,5307.091699,3617.98226,1569.259293,7814.78791,2881.874987,3858.90869,5546.65349,3273.440157,3988.020455,4082.453183,2522.514765,0,2671.543786,2471.773301,2658.662668,1276.780734,0,0,3282.633981,4341.43135,4857.517008,5376.625408,1926.921564,2031.779698,0,1297.432012,1621.791696,0,5137.604887,0,3149.574657,3054.018546,3208.521324,2473.924752,1514.232819,2051.966388,2022.875155,0,1517.98289,2049.819826,2729.917768,4498.577226,4043.343622,2349.090401,4261.435273,0,0,0,1546.056855,1603.286788,1638.102838,1993.917057,2836.68547,3991.621834,6066.331337,4719.253855,4704.918709,5309.203175,4750.039477,4594.744774,2865.150416,3824.943743,3695.875039,4704.893247,3634.06572,3381.241388,4398.476212,8677.150215,5133.246973,5171.776341,2229.887379,2778.498555,3364.931136,4852.602686,1709.188891,2624.464055,4212.405766,2023.539034,6398.212773,5156.781739,4305.547439,3006.467094,3803.154787,3192.797878,2575.381722,2082.907277,2081.44642,0,3494.993437,0,6889.760336,2640.110423,4225.849917,0,4440.371512,2356.093602,5282.358518,4504.645302,0,2672.033259
61_03018252,61.03018252,1770.297793,2020.534588,1322.693447,0,3601.541089,2068.912498,3775.106471,6777.638911,3665.352266,0,2686.731249,4218.350113,1165.710873,1497.200161,2300.241293,2256.854364,3081.536865,6329.800811,4819.963208,3944.676442,3621.773865,5178.231635,2550.086023,0,3333.451652,4960.580087,3410.769276,3796.328643,5677.998646,3121.614033,5110.728452,3210.367545,3775.869007,6038.790112,0,3985.57886,3526.971945,3246.373363,0,2511.232339,3290.98277,3156.281181,3977.006077,3079.026019,3026.274624,6252.308422,5464.220506,6874.153787,3562.09965,6774.997695,3353.559776,1796.233892,7627.021655,2834.106027,4325.976771,6744.086675,4369.598931,4696.577854,4893.707044,2796.279367,0,2759.029342,2015.11128,2000.908729,1602.287898,1739.578938,1881.109819,3409.099567,4561.874294,5345.744259,5768.687314,2398.879118,2173.463697,0,0,1548.125125,0,5749.804858,0,3129.745232,3181.932297,4883.464837,2145.187398,1450.625576,2265.852234,2639.073381,0,1725.373299,1925.220758,3380.719256,4521.609204,4558.056282,2758.155568,4241.466188,1770.839136,0,0,1776.890622,2038.274643,2134.339487,1822.464225,3095.952069,3562.500619,7618.631902,4991.590106,4377.361459,5147.099176,5655.186487,4962.572737,3094.475199,4474.325495,4891.026978,4129.767375,4875.800947,3102.463996,5342.672995,10550.4875,4715.121836,5424.350748,2648.11381,3980.44889,3169.221883,4743.909179,1931.096905,2770.846275,4378.803798,2143.010774,7430.627464,5377.86441,3875.170678,4103.614442,4160.453097,3331.706685,3832.869959,2417.224988,1944.077209,0,3174.247224,0,7050.678324,3176.998479,3923.516645,0,4295.030571,2282.181248,5521.6084,5158.126938,0,3058.014092
61_51403426,61.51403426,2647.034337,2069.250469,2060.149226,2915.698251,4459.528804,2458.733716,4093.72182,4453.248288,2269.009285,0,2119.768023,2771.926066,2672.086408,1951.337471,4695.367922,3405.387384,2575.133693,4318.127491,3817.045942,2906.633982,3485.903485,4163.684385,2800.014866,0,2115.412869,3240.547124,1818.859793,3572.89548,3603.912331,3775.131996,2675.237898,2320.335035,2334.801472,3498.291873,0,3482.685744,3103.227497,3227.530449,0,1987.57815,2278.079764,2439.338914,3011.516402,2021.852165,2492.934545,4062.423631,3801.808534,5647.211652,2055.374218,3763.934049,3234.972924,2409.524384,5807.735017,2334.434746,2763.67592,4258.302597,2330.483454,2960.91322,3185.951472,3599.697773,2361.57338,5388.499149,3040.346072,2883.681428,2112.009485,0,1931.908225,3159.022509,3355.293651,4162.040715,3866.998319,3376.859146,3792.44073,1819.729313,2089.625918,2473.749558,1990.303995,4135.220681,0,2666.394992,2347.078467,3044.410178,2888.290767,2036.56726,4240.394649,4674.745164,0,2628.755517,3846.691621,2175.609256,4547.28988,2818.367007,2745.579134,2687.422288,2806.410707,2584.923829,2024.24345,2713.414092,2823.150167,2352.765793,2345.838118,2811.957256,2233.299606,5113.226791,3572.213096,3738.029978,3218.879115,2535.659071,3450.330953,2535.626938,3698.216118,2728.017989,3911.565104,2990.151863,1691.065129,3590.248977,4282.477886,3702.635324,2938.25068,2511.972877,3518.959083,2789.393923,2980.297422,1961.011143,0,3276.269296,0,4289.329372,2232.82526,3357.208671,0,2793.93686,1968.980219,3172.940139,3443.883124,0,0,2671.32909,0,3882.513129,2140.821538,3662.503412,0,3002.506303,1767.634031,3407.976342,3017.738063,0,2435.70806
62_02886549,62.02886549,1968.69232,4380.312992,0,1957.286424,0,0,5769.089219,4322.780195,2004.928546,3223.647288,4784.388996,3396.670699,1537.466166,1996.405443,0,0,2349.882836,6600.123995,4659.042849,6612.555758,4604.059298,5280.311562,2673.041041,3301.39347,2635.520161,3626.785208,3765.023651,4929.362261,5427.111074,1969.117584,4389.694701,3985.974005,2615.226967,5704.281914,3997.797949,2476.575296,2881.724861,4356.415788,2195.409464,3613.588397,5568.993893,3821.443712,4526.192994,1673.921844,3051.913801,6659.880522,4742.275586,3846.680885,0,3761.507588,3436.258157,2032.479162,13275.76123,5088.440403,6523.54145,2926.023644,6179.190253,6243.010299,2171.564188,3259.891288,2039.408447,0,2737.39449,2459.32484,0,4851.946076,2932.993127,3930.663394,4004.317112,2802.714985,7069.328254,2108.093873,2068.566525,1876.889372,0,0,2574.912412,5295.952842,2321.913569,5441.175541,1861.626674,1947.135638,3295.087349,2225.002069,0,0,3205.563666,0,2037.568932,2704.30809,2988.374742,5035.966233,4927.996873,4026.572082,3010.929923,2814.837169,1868.983876,1967.176244,2612.870014,0,2395.496191,3011.108123,5680.596425,6991.084531,3011.454514,5882.563414,2120.656374,4243.145002,5518.868552,3318.386802,4054.051808,3990.619186,3143.915942,5677.046666,4786.228787,6524.745941,7165.839956,2316.758466,2491.548297,7254.344468,4609.30325,5203.943774,4730.289004,3083.58495,4583.302075,5599.945983,4929.786182,2794.981693,2355.239564,3478.743793,5764.633964,6533.608627,5803.42789,3465.57059,0,1693.254013,2556.485461,4281.99796,0,4783.831504,0,7769.528136,1522.825483,3434.626512,5486.220942,5843.032093,5754.560551,3762.187388,5334.414785
62_52431643,62.52431643,2844.781944,7527.829679,2490.062196,3459.817107,2325.203404,2943.014612,8493.07542,6739.70752,7174.291176,8997.707822,8262.469537,4775.481628,1877.363872,2332.956584,3104.449264,1690.193851,2319.000932,9025.679521,7017.72159,9767.018651,7232.937987,7301.046277,4246.969633,8628.391027,5440.925305,7174.311488,6301.431849,6702.88055,8664.85672,4108.318262,11708.88702,7093.630745,2246.899852,8961.007651,6617.515229,4376.307469,4884.097784,9140.046415,5305.11916,7767.568018,7125.068061,6913.84609,6772.979721,1656.592924,6706.131521,11181.4306,8164.056001,6433.324185,1904.55835,7004.151309,5835.02135,4914.921332,15006.21809,8440.404019,8652.393755,3520.830415,7024.548236,8618.250502,6221.527743,3210.199451,3139.072376,2407.082419,3694.831754,3132.149155,0,10145.24489,6239.003846,6827.730897,7686.087894,6094.096474,11030.58998,2511.515763,3528.849412,2507.977189,3068.730063,2358.73308,3967.449565,6375.630681,7276.632129,9260.614091,5346.098269,2367.08612,5216.644321,3175.975275,2808.5019,3449.182137,6231.842047,1970.467213,3947.027659,4602.984532,2322.101429,9066.260093,6651.561558,7966.433673,6536.655075,5135.570741,3481.256828,2655.185597,3269.687181,2240.624915,3787.105335,4984.973583,8826.882627,13136.99248,5937.477032,7911.662219,2132.847632,6464.665719,7919.829202,5114.058772,4569.264802,9651.453791,6049.90674,8441.035311,9082.309005,8842.918165,14336.80847,5125.699658,3183.623714,9610.813503,7944.656802,6392.45828,8342.502396,4791.658755,10017.85851,6812.552645,9253.272186,3532.848931,4095.039215,5170.981485,9856.774525,11684.53111,10978.41335,5438.975606,2317.447882,2143.373957,8338.891706,7030.768298,6784.725268,10894.04894,1967.959829,8742.904039,6457.514464,6238.904657,7878.906437,9528.59889,7754.168552,11486.8497,11979.53157
