"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","Symbol"
"Dapma7bEVm000001",365.632652210658,0.0610840690870423,0.0959521212038279,0.636609887521751,0.524378983136062,0.875935346792988,"ENSG00000171587","DSCAM"
"Dapma7bEVm000002",1304.98790855677,-0.36052135444815,0.191345816722898,-1.88413502120221,0.0595467141470981,0.408413577786004,NA,""
"Dapma7bEVm000003",95.4371727201943,-0.678655340266599,0.257739456416539,-2.63310612081763,0.0084607907094467,0.151567484045263,"ENSG00000077942","FBLN1"
"Dapma7bEVm000004",69.1720045683963,-0.141612797624487,0.305329934157884,-0.463802535493489,0.642789226613678,0.916373539631638,"ENSG00000004139","SARM1"
"Dapma7bEVm000005",185.501787164651,-0.604010689579317,0.270818035361157,-2.23031929455445,0.0257262531460886,0.271281894130384,"ENSG00000113569","NUP155"
"Dapma7bEVm000006",574.855908405935,-0.123763046618095,0.0952948906910556,-1.29873748446108,0.194034035369016,0.661687219576382,"ENSG00000107863","ARHGAP21"
"Dapma7bEVm000008",1067.60525402244,0.0728844108691697,0.0990096212717676,0.736134629473151,0.461648770063393,0.852049204555303,"ENSG00000142599","RERE"
"Dapma7bEVm000009",1575.62934420542,-0.0678601962549344,0.0824035666867354,-0.823510425378928,0.410217791050393,0.82501658323598,"ENSG00000102385","DRP2"
"Dapma7bEVm000010",1104.87410391562,-0.139915051347177,0.0986165627956768,-1.41877842200875,0.155963625468333,0.615034241183929,NA,""
"Dapma7bEVm000011",1819.45486890075,-0.359244768741638,0.33292632326306,-1.07905186114642,0.280564609225009,0.743696523401549,NA,""
"Dapma7bEVm000012",1229.01993251765,-0.596500435308969,0.273380487815312,-2.18194224494891,0.0291137955043645,0.290845267566664,"ENSG00000100014","SPECC1L"
"Dapma7bEVm000013",411884.092515466,-0.0574204226218345,0.187017689488284,-0.307032039476841,0.75881898527369,0.948977743537855,NA,""
"Dapma7bEVm000014",383.968627442258,0.13194722007981,0.103539651826576,1.27436414699188,0.202534392449174,0.672224538039241,"ENSG00000009694","TENM1"
"Dapma7bEVm000015",332.66725873031,0.0876689976281344,0.159231651623758,0.550575194907129,0.581924916878667,0.899340685630127,"ENSG00000056097","ZFR"
"Dapma7bEVm000016",906.768417717688,-0.213265157175761,0.188966990779592,-1.12858418444368,0.259073285527073,0.729420835401473,"ENSG00000110090","CPT1A"
"Dapma7bEVm000017",578.771562450733,-0.13700388846214,0.087243307972615,-1.57036558615068,0.116330083872515,0.551547602261687,"ENSG00000104067","TJP1"
"Dapma7bEVm000018",1110.05335065494,-0.0660115601487533,0.0915093097556907,-0.721364419915191,0.470685331540768,0.855787853721057,"ENSG00000075702","WDR62"
"Dapma7bEVm000019",703.172293276187,-0.199545186072635,0.0823810763048102,-2.42222115834366,0.0154259592995032,0.209873104375201,"ENSG00000065243","PKN2"
"Dapma7bEVm000020",606.893923209768,0.17842358003999,0.145101019569708,1.22965076723168,0.218827910427726,0.692553097192319,"ENSG00000124181","PLCG1"
"Dapma7bEVm000021",830.012835194149,-0.1666246739119,0.0687478077250892,-2.42370890688186,0.0153629143138291,0.20963304644872,"ENSG00000014216","CAPN1"
"Dapma7bEVm000022",1572.52962140954,-0.162095462320695,0.1083739497828,-1.49570503470218,0.134730537730422,0.57918415261109,NA,""
"Dapma7bEVm000023",465.383348267237,0.0396882542175477,0.125780641916984,0.315535472014384,0.752355122781811,0.947091972695435,"ENSG00000105926","PALS2"
"Dapma7bEVm000024",169.145254335169,0.18354087908854,0.157212402663562,1.16747073372653,0.243020320520855,0.715216424139165,NA,""
"Dapma7bEVm000025",254.031882574176,-0.0655755629765052,0.163744360978301,-0.400475244367012,0.688806513441569,0.930078389931205,NA,""
"Dapma7bEVm000026",169.890077720127,-0.0333500832402993,0.15465059856411,-0.215647941553063,0.829262182953149,0.966646586743655,NA,""
